name,type,deal_date,market_median,multiplier,LTM,age,ID,price
"Andy Mineo, Wordsplayed + More Songwriter Royalties",life_of_rights,2024-04-17,,6.0,2416.0,5.47,5627,14500.0
Thievery Corporation - Songwriter Royalties,life_of_rights,2024-04-16,,12.82,4602.0,13.31,5630,59000.0
Drakeo The Ruler + More - Publishing Royalties,life_of_rights,2024-04-15,,2.34,5872.0,2.68,5632,13750.0
Anderson .Paak's Grammy-Winning “Bubblin”,partial_10_year,2024-04-11,,4.29,2922.0,5.25,5264,12550.0
"""Fine Girl"" by ZieZie - Songwriter Royalties",life_of_rights,2024-04-09,,4.93,4217.0,6.01,5360,20800.0
"Fin Argus, TYSM, Blackbear + More Pop Publishing Royalties",life_of_rights,2024-04-08,,9.34,2998.0,6.4,5339,28000.0
"""Sh-Boom (Life Could Be A Dream)"" - Songwriter Royalties",life_of_rights,2024-04-03,,8.85,14074.0,69.21,5599,124500.0
"Chris Brown, French Montana + More Songwriter Royalties",life_of_rights,2024-04-06,,5.24,12130.0,5.33,5582,63500.0
Producer Royalties from Hip-Hop Artist NF,life_of_rights,2024-04-02,,6.53,28340.0,3.84,5178,185000.0
"Publishing: NBA YoungBoy's ""Carter Son""",life_of_rights,2024-04-04,,8.23,2127.0,4.45,4594,17500.0
"""D Rose"" by Lil Pump - Publishing Royalties",life_of_rights,2024-04-03,,8.91,4322.0,7.44,5032,38500.0
Shrek - Music From The Award-Winning Film Franchise,life_of_rights,2024-04-02,,13.74,14970.0,20.61,5291,205663.0
Listerine Royalties,life_of_rights,2024-04-02,,24.68,2553.0,142.51,5580,63000.0
Pop Music Placed in TV/Film: Naomi August,life_of_rights,2024-03-31,,7.08,12424.0,5.31,4523,87950.0
"Kane Brown's ""Grand"" - Songwriter Royalties",life_of_rights,2024-03-30,,2.36,21658.0,1.5,5334,51100.0
Choices (Yup) & more E-40 classic tracks - Songwriter Royalties,partial_30_year,2024-03-30,,7.46,3083.0,9.18,4766,23000.0
Royalties From New Kids On The Block + Akon,life_of_rights,2024-03-29,,6.94,9493.0,15.96,3816,65900.0
"Hip-Hop Publishing feat. NoCap, Quando Rondo and More",life_of_rights,2024-03-29,,6.43,10878.0,4.64,5004,69950.0
"2Pac, Kreepa & Capone - Publisher Royalties",life_of_rights,2024-03-27,,8.45,20232.0,14.07,5452,171000.0
Royalty Share from Jimi Hendrix’s “Band of Gypsys”,life_of_rights,2024-03-27,,11.33,7525.0,57.67,5604,85250.0
Streaming-Driven Latin Hip-Hop,partial_10_year,2024-03-26,,4.43,1128.0,6.72,3479,5000.0
"Bryson Tiller, Kid Cudi + More Songwriter Royalties",30_year,2024-03-26,,5.31,13373.0,3.64,5535,71000.0
EDM and Electropop Songwriter Royalties,partial_10_year,2024-03-24,,2.4,25427.0,13.48,5409,61111.0
Migos “First 48” Publishing Royalties,partial_10_year,2024-03-25,,3.4,1618.0,8.09,4458,5500.0
"Tisoki, Aitana, Cami + More - Songwriting Royalties",30_year,2024-03-22,,6.44,1677.0,4.02,5583,10799.0
"Bryson Tiller, Kid Cudi + More Publishing Royalties",life_of_rights,2024-03-21,,6.7,10454.0,3.55,5533,70000.0
Marcus Anderson - Sound Recording Royalties,10_year,2024-03-20,,4.31,29203.0,5.26,5586,125883.0
"Logic, Chrisette Michele, Ramsey Lewis + More - Publishing Royalties",life_of_rights,2024-03-19,,9.75,7411.0,11.27,5461,72225.0
"Migos, Kevin Gates + More Publishing Royalties",life_of_rights,2024-03-16,,7.0,4678.0,4.65,5065,32750.0
"Jake Owen's ""I Was Jack (You Were Diane)"" - Publishing Royalties",life_of_rights,2024-03-18,,9.31,4083.0,6.0,5585,38000.0
Robbie Rivera House Music Songwriting Royalties,life_of_rights,2024-03-16,,9.07,4078.0,12.75,5311,37001.0
Davie - Publishing Rights,life_of_rights,2024-03-12,,3.96,7574.0,6.29,5511,30000.0
MercyMe + More Publishing Royalties,life_of_rights,2024-03-14,,11.96,1233.0,20.13,5570,14750.0
How to Draw Cool Stuff - Book Royalties,life_of_rights,2024-03-14,,4.55,41734.0,9.62,5569,190000.0
"Wolfgang Gartner, deadmau5, Skrillex + More - Publishing Royalties",life_of_rights,2024-03-14,,6.58,34190.0,11.7,5530,225000.0
"Hip-Hop Publishing: Trippie Redd, PnB Rock & More",life_of_rights,2024-03-12,,7.67,18813.0,6.29,3901,144231.0
"One Ok Rock, Lower Than Atlantis + More Rock Royalties",life_of_rights,2024-03-12,,8.12,3078.0,6.92,5562,25000.0
"Lost Frequencies, Tom Walker + More - Publishing Royalties",10_year,2024-03-08,,4.58,5780.0,5.0,5561,26471.0
"Publishing - ""Shooters Inside My Crib"" by Quavo + More",life_of_rights,2024-03-11,,4.47,2128.0,2.04,5259,9501.0
"Alexis Spight, Usher, Boyz II Men + More Songwriter Royalties",partial_30_year,2024-03-08,,8.55,1755.0,11.75,5459,15001.0
"NBA YoungBoy, Rod Wave + More - Songwriter Royalties",life_of_rights,2024-03-09,,5.9,17792.0,3.39,5577,105000.0
"Trey Songz's ""Dive In"" - Publishing Royalties",life_of_rights,2024-03-10,,8.2,2988.0,11.38,5522,24500.0
"Mary J. Blige, Jaheim, Diana Ross + More Songwriter Royalties",30_year,2024-03-09,,9.42,6366.0,26.38,5438,60000.0
Hip-Hop Artist TVBUU - Songwriter Royalties,partial_30_year,2024-03-09,,7.07,1386.0,4.37,5457,9800.0
"Jake Owen's ""I Was Jack (You Were Diane)"" - Songwriting Royalties",30_year,2024-03-08,,8.33,1980.0,5.5,5571,16500.0
Youngboy Never Broke Again - Producer Royalties,life_of_rights,2024-03-08,,5.44,4080.0,4.42,5576,22200.0
"Luh Tyler's ""Law and Order"" - Songwriter Royalties",life_of_rights,2024-03-07,,4.17,7676.0,1.25,5519,32000.0
"Classic Soul and R&B Sampled by Kanye, 50 Cent, and More",life_of_rights,2024-03-08,,10.42,3359.0,11.9,4963,35000.0
"Lil Wayne's ""Mr. Carter"" + More Songwriter Royalties",30_year,2024-03-04,,7.35,5308.0,15.38,5559,39000.0
Music Featured in Reality TV Franchises,life_of_rights,2024-03-06,,8.34,2936.0,8.3,4768,24500.0
Electronic/Dance Royalties from RUNAGROUND,life_of_rights,2024-03-06,,19.13,157.0,3.86,5546,3000.0
"""300 Violin Orchestra"" by Jorge Quintero - Songwriting Royalties",life_of_rights,2024-03-05,,6.22,32579.0,15.48,5549,202500.0
Music From Quentin Tarantino’s “Pulp Fiction”,life_of_rights,2024-03-04,,14.81,15698.0,29.22,5197,232500.0
"Token, Chris Webby + More - Songwriter Royalties",life_of_rights,2024-02-27,,5.2,3826.0,3.55,5544,19900.0
Listerine Royalties,life_of_rights,2024-02-29,,30.42,5129.0,142.51,5553,156000.0
Dishwalla - Songwriter Royalties,30_year,2024-02-29,,10.46,7361.0,27.5,5545,77000.0
"NCT 127's hit ""Lemonade"" - Songwriting Royalties",life_of_rights,2024-02-29,,2.7,14082.0,2.25,5548,38000.0
"New Hope Club, Lewis Capaldi, The Chainsmokers + More - Publishing Royalties",life_of_rights,2024-02-27,,6.71,23991.0,4.91,5510,161000.0
"DaBaby's ""Goin Baby"" + Rema's ""Are You There?"" - Songwriter Royalties",life_of_rights,2024-02-27,,5.88,1787.0,3.98,5540,10500.0
R&B & Pop Catalog: Featuring Trey Songz,partial_10_year,2024-02-23,,4.59,654.0,9.38,4004,3001.0
Streaming Hip-Hop Catalog,partial_10_year,2024-02-23,,4.47,895.0,9.49,2991,4001.0
"Desiigner's ""Panda"" - Producer Royalties",life_of_rights,2024-02-23,,8.2,16833.0,8.05,5526,138000.0
Listerine Royalties,life_of_rights,2024-02-21,,31.0,2564.0,142.51,5538,79500.0
"Southern Hip-Hop: Huey's ""Pop, Lock & Drop It""",partial_10_year,2024-02-19,,3.49,1289.0,17.43,4429,4500.0
"Dababy's ""Goin Baby"" + More - Publisher Royalties",life_of_rights,2024-02-15,,6.22,4519.0,4.34,5516,28100.0
Electronic/Dance Royalties from RUNAGROUND,life_of_rights,2024-02-14,,20.45,196.0,3.71,4967,4000.0
"City Girls' ""Twerk"" ft. Cardi B + More Songwriter Royalties",life_of_rights,2024-02-15,,7.71,5737.0,5.6,5529,44250.0
"Swedish Hip-Hop from 2.Clock, Z.E & More",life_of_rights,2024-02-13,,6.79,1767.0,3.71,5381,12000.0
"German Pop, Rap, Techno - Sound Recording Royalties",life_of_rights,2024-02-10,,4.21,71340.0,2.47,5524,300000.0
"$UICIDEBOY$, Three 6 Mafia, MC Mack + More - Songwriting Royalties",life_of_rights,2024-02-09,,7.07,6259.0,7.06,5482,44250.0
"James Blunt, Little Mix + More Pop Songwriting Royalties",life_of_rights,2024-02-09,,7.4,26773.0,6.18,5297,198000.0
"Sigala & Talia Mar's  ""Stay The Night"" - Songwriter Royalties",life_of_rights,2024-02-09,,2.52,25789.0,1.62,5521,65000.0
"Logic, Chrisette Michelle, K-Pop + More - Songwriter Royalties",30_year,2024-02-09,,7.64,7328.0,8.18,5460,56000.0
"""Best Is Yet To Come"" By Gryffin",partial_30_year,2024-02-08,,12.38,451.0,2.25,4894,5580.0
Rob Curly Songwriter Royalties,partial_30_year,2024-02-08,,7.53,1302.0,5.25,5127,9800.0
"Davie's ""Testify"" - Songwriter Royalties",30_year,2024-02-06,,6.19,1091.0,7.0,5502,6750.0
Publishing Royalties: Alt-Rock Band Yellowcard,life_of_rights,2024-02-05,,10.72,14548.0,19.55,5503,156000.0
Songwriter Royalties Featuring Macklemore,10_year,2024-02-01,,5.25,8738.0,6.7,4298,45882.0
"Wolfgang Gartner, deadmau5, Skrillex + More - Songwriter Royalties",life_of_rights,2024-01-28,,7.83,14177.0,10.71,5488,111000.0
"Mary J. Blige's ""Seven Days"" - Producer Royalties",life_of_rights,2024-01-28,,13.61,4777.0,26.69,5481,65000.0
10-Year-Old Consistent Rock from Evans Blue,partial_10_year,2024-01-28,,3.5,1430.0,13.13,4555,5000.0
"Demi Lovato, Ella Mai, Camila Cabello + More - Publishing Royalties",life_of_rights,2024-01-29,,5.17,25126.0,3.97,5480,130000.0
"""You Broke Me First"" by Tate McRae - Publishing Royalties",life_of_rights,2024-01-26,,6.92,180749.0,3.46,5422,1250000.0
"Beastie Boys, Parliament Funkadelic + More - Songwriter Royalties",life_of_rights,2024-01-26,,16.5,1000.0,31.71,5444,16500.0
International Pop and Hip-Hop,partial_10_year,2024-01-24,,4.2,988.0,10.52,5204,4150.0
"Drake, Megan Thee Stallion, Beyonce + More - Publishing Rights",life_of_rights,2024-01-23,,8.16,65559.0,5.15,5464,535000.0
"$UICIDEBOY$, Three 6 Mafia, MC Mack + More - Performance Royalties",life_of_rights,2024-01-23,,7.04,5399.0,7.67,5478,38000.0
"Pop Songs from G.R.L., WWE Placements + More - Songwriter Royalties",partial_30_year,2024-01-23,,6.66,7921.0,7.82,5104,52750.0
Royalties from Rick Ross and more,partial_10_year,2024-01-22,,11.74,239.0,10.69,4605,2800.0
Tracks from Sanctus Real - Songwriter Royalties,partial_30_year,2024-01-22,,6.43,2411.0,13.31,4088,15500.0
“Familia” featuring Nicki Minaj - From “Into the Spider-Verse”,life_of_rights,2024-01-22,,10.32,1328.0,5.05,5495,13700.0
"""Sad Hours"" by LRN Slime - Sound Recording Royalties",life_of_rights,2024-01-20,,5.31,2627.0,2.92,5492,13950.0
"Tim McGraw & Tyler Hubbard's ""Undivided"" + More",life_of_rights,2024-01-14,,9.54,1677.0,3.11,5467,16000.0
"Amy Winehouse's ""He Can Only Hold Her"" + More - Songwriter Royalties",life_of_rights,2024-01-16,,19.02,1209.0,16.25,5399,23000.0
"""Marz"" + ""Shoot Out"" by DeeBaby - Songwriter Royalties",10_year,2024-01-14,,2.47,4461.0,2.71,5466,11000.0
Saint Raymond - Publishing Royalties,life_of_rights,2024-01-13,,9.23,11376.0,7.33,5440,105000.0
"Theme From ""Love & Hip-Hop Atlanta"" + More Publishing Royalties",life_of_rights,2024-01-10,,3.25,7681.0,2.2,5424,25000.0
"Justin Bieber, Bishop Briggs, EXO + More - Songwriter Royalties",life_of_rights,2024-01-11,,10.91,5040.0,7.73,5458,55000.0
Cues From The Rachael Ray Show + More,life_of_rights,2024-01-07,,4.08,25506.0,8.89,4860,104000.0
"David Guetta's ""Say My Name"" + More Pop Hits",life_of_rights,2024-01-05,,6.83,76835.0,5.28,5258,525000.0
"Rod Wave, JayDaYoungan, + More - Songwriter Royalties",life_of_rights,2024-01-04,,7.51,6959.0,4.23,4422,52265.0
"Hit K-Pop, R&B, and Pop Royalties",partial_10_year,2024-01-04,,2.82,4078.0,6.61,3346,11500.0
"Blackbear, Jacob Sartorius + More - Songwriter Royalties",partial_30_year,2024-01-04,,11.57,865.0,5.83,5237,10000.0
"G-Eazy's ""Down"" - Publishing Royalties",life_of_rights,2024-01-03,,8.74,1145.0,3.32,4556,10000.0
Consistent Smooth Jazz Royalties,partial_10_year,2024-01-03,,3.56,4499.0,11.58,5370,16000.0
Lecrae Hits & More Assorted Hip-Hop,partial_30_year,2023-12-30,,7.41,1823.0,10.81,4833,13500.0
"Latin Songwriter Royalties - Elvis Crespo, Héctor Acosta, + More",10_year,2023-12-29,,5.02,2637.0,19.2,4499,13250.0
"Dem Franchize Boyz ""Lean Wit It Rock Wit It"" + More",partial_30_year,2023-12-22,,9.69,1394.0,15.87,5011,13500.0
"Ginuwine, Marques Houston, Lupe Fiasco + More - Songwriter Royalties",30_year,2023-12-19,,10.33,1016.0,15.94,5433,10500.0
"Mary J. Blige, Jaheim, Diana Ross + More Publisher Royalties",life_of_rights,2023-12-16,,14.45,13288.0,25.81,5432,192000.0
Dire Straits - Classic Rock Sound Recording Royalties,life_of_rights,2023-12-16,,22.87,5924.0,39.21,5443,135500.0
Streaming-Heavy Hip-Hop from YFN Lucci & Gucci Mane,life_of_rights,2023-12-15,,11.18,581.0,6.65,5175,6500.0
Hip-Hop Artist TVBUU - Songwriter Royalties,30_year,2023-12-14,,4.63,1296.0,4.48,5442,6000.0
"Lil Durk's ""Petty Too"" - Songwriter Royalties",life_of_rights,2023-12-13,,2.53,4346.0,1.56,5376,11000.0
"""Petty Too"" by Lil Durk - Songwriter Royalties",life_of_rights,2023-12-13,,2.74,4385.0,1.56,5377,12000.0
Tyrese Gibson - Songwriter Royalties,30_year,2023-12-12,,8.92,1401.0,11.92,5425,12501.0
"Alexis Spight, Usher, Boyz II Men + More Songwriter Royalties",30_year,2023-12-12,,6.15,1869.0,10.87,5437,11501.0
"Amy Winehouse, Dido + More - Publishing Royalties",life_of_rights,2023-12-12,,13.55,4058.0,16.78,5402,55000.0
Rock Band Dire Straits - Sound Recording Royalties,life_of_rights,2023-12-10,,21.94,5924.0,39.21,5412,130000.0
Rock Band Dire Straits - Sound Recording Royalties,life_of_rights,2023-12-10,,21.94,5924.0,39.21,5412,130000.0
,,2023-12-09,,7.08,1908.0,5.14,5429,13500.0
,,2023-12-09,,12.55,7163.0,45.75,5064,89900.0
,,2023-12-08,,8.56,3856.0,13.14,5417,33000.0
,,2023-12-04,,5.55,2162.0,4.68,5313,12000.0
,,2023-12-05,,4.81,4364.0,1.89,5345,21000.0
,,2023-12-04,,3.44,1742.0,3.12,5414,6000.0
,,2023-12-03,,16.75,3822.0,10.25,5416,64000.0
,,2023-11-30,,9.2,1033.0,4.28,5179,9500.0
,,2023-11-30,,7.92,1137.0,4.04,4745,9000.0
,,2023-11-26,,6.06,141944.0,3.52,5252,860000.0
,,2023-11-26,,16.32,3738.0,19.61,5403,61000.0
,,2023-11-23,,7.26,49691.0,11.06,5183,361000.0
,,2023-11-24,,5.32,30076.0,3.33,5405,160000.0
,,2023-11-23,,7.76,30401.0,23.46,5153,236000.0
,,2023-11-23,,3.49,5018.0,1.29,5393,17500.0
,,2023-11-22,,6.41,31069.0,5.03,5371,199004.0
,,2023-11-20,,5.39,31545.0,3.44,5324,170000.0
,,2023-11-14,,5.8,10523.0,10.62,5391,61000.0
,,2023-11-16,,3.9,18101.0,3.16,5314,70666.0
,,2023-11-15,,6.01,6819.0,4.57,5380,41000.0
,,2023-11-06,,10.59,2223.0,17.57,5390,23550.0
,,2023-11-07,,8.89,2385.0,18.46,5388,21200.0
,,2023-11-03,,5.88,2305.0,3.5,5383,13560.0
,,2023-11-05,,4.25,11999.0,24.09,5328,51000.0
,,2023-11-05,,8.17,18350.0,16.01,5362,150000.0
,,2023-11-02,,6.88,26180.0,10.86,5378,180000.0
,,2023-11-02,,7.56,19837.0,10.75,5379,150000.0
,,2023-10-31,,5.23,12516.0,4.71,5375,65500.0
,,2023-10-26,,4.43,3163.0,3.82,5358,14000.0
,,2023-10-29,,4.65,30076.0,3.33,5372,140000.0
,,2023-10-24,,9.15,4479.0,23.31,5279,41000.0
,,2023-10-25,,5.87,5283.0,4.78,5359,31000.0
,,2023-10-20,,11.92,12665.0,43.9,5368,151000.0
,,2023-10-20,,3.29,9283.0,3.52,5349,30500.0
,,2023-10-18,,5.05,6079.0,3.97,5354,30700.0
,,2023-10-17,,6.34,2050.0,6.29,5363,13000.0
,,2023-10-13,,3.64,4433.0,4.04,4978,16150.0
,,2023-10-09,,7.61,3875.0,8.23,5346,29500.0
,,2023-10-03,,7.41,10256.0,8.81,4216,76000.0
,,2023-10-03,,9.92,2138.0,21.39,5340,21200.0
,,2023-10-04,,1.89,12656.0,2.24,5294,23900.0
,,2023-10-04,,3.53,3967.0,11.32,5316,14000.0
,,2023-09-30,,4.49,9007.0,6.57,5343,40400.0
,,2023-09-29,,4.83,1344875.0,15.44,5187,6500000.0
,,2023-09-29,,11.35,776.0,5.92,5327,8805.0
,,2023-09-28,,5.12,2439.0,4.77,5007,12500.0
,,2023-09-28,,21.44,710.0,17.35,4143,15217.0
,,2023-09-25,,4.39,9106.0,6.38,5325,39999.0
,,2023-09-25,,3.1,4029.0,2.09,5333,12500.0
,,2023-09-21,,6.97,4305.0,6.6,5329,30000.0
,,2023-09-19,,7.39,9584.0,6.85,5306,70800.0
,,2023-09-16,,8.97,2086.0,6.38,5040,18700.0
