Listing ID,Sale Price,LTM Multiple,Last 12 Months,3-Year Average,Earnings Since 2022,Dollar Age,Track Included,Last Transaction Price,Last Transaction Date,Term,Marketplace Median,Minimum Bid,Asset ID,Offer Info,Earnings Since 2021,Tracks Included,Earnings Since 2019,Earnings Since 2014,Years Remaining,Expiration Date,Earnings Since 2018,Earnings Since 2015,Earnings Since 2009,Earnings Since 2013,,,,,,,,
5664,"$250,000 ",10.46 x LTM,23902,"$19,873 ",,22.58 Years,,,,Life of Rights,"$***,***","$115,000 ",5664,,8,,,"$59,619 ",8,,,,,,,,,,,,,
5348,"$19,000 ",4.31 x LTM,4404,"$2,125 ",,2.91 Years,,"$12,500 ",25-Sep-23,Life of Rights,"$*,***","$6,250 ",5348,,72,,,,72,,,,,,"$12,320 ",,,,,,,
5644,"$141,000 ",15.52 x LTM,9084,"$8,284 ",,10.76 Years,,,,Life of Rights,"$**,***","$40,000 ",5644,,46,,,,46,,,,,,,"$73,786 ",,,,,,
5421,"$17,600 ",7.61 x LTM,2313,"$2,987 ",,3.22 Years,,"$13,560 ",6-Nov-23,Life of Rights,"$**,***","$16,000 ",5421,,6,,,,6,,,,,,,,"$10,716 ",,,,,
5648,"$186,000 ",8.70 x LTM,21381,"$26,024 ",,11.52 Years,,,,Life of Rights,"$***,***","$90,000 ",5648,,62,,,,62,,,,,,,,,,,,,
5665,"$19,500 ",4.33 x LTM,4502,"$2,091 ",,6.79 Years,,"$13,000 ",17-Oct-23,Life of Rights,"$**,***","$5,012 ",5665,"$10,557 ",13,,,,13,,,,,,,,,,,,,
5663,"$8,500 ",4.55 x LTM,1867,"$2,272 ",,4.86 Years,,,,Life of Rights,"$**,***","$7,500 ",5663,,23,,,"$6,816 ",23,,,,,,,,,,,,,
4213,"$25,800 ",8.15 x LTM,3164,"$3,542 ",,12.71 Years,,,,Term Advance 30-Year,—,"$8,000 ",4213,,65,30,30-Apr-54,,65,,,,,,,,,"$201,399 ",,,,
5638,"$45,000 ",4.59 x LTM,9797,"$7,875 ",,6.02 Years,,,,Term Advance 30-Year,—,"$20,000 ",5638,,56,30,29-Apr-54,,56,,,,"$30,557 ",,,,,,,,,
5641,"$22,000 ",4.50 x LTM,4888,—,,1.39 Years,1,,,Life of Rights,—,"$8,000 ",5641,,,,,,,,,,,,,,,,"$4,888 ",,,
5656,"$26,000 ",5.88 x LTM,4425,"$5,051 ",,9.26 Years,,,,Life of Rights,"$**,***","$18,500 ",5656,,10,,,,10,,"$54,796 ",,,,,,,,,,,
5611,"$150,000 ",23.08 x LTM,6498,"$6,461 ",,142.75 Years,1,,,Life of Rights,—,"$64,000 ",5611,,,,,,,,,"$139,586 ",,,,,,,,,,
5631,"$6,000 ",6.24 x LTM,961,$851 ,,5.44 Years,,,,Term Advance 30-Year,"$*,***","$3,000 ",5631,,18,30,25-Apr-54,,18,,,,,"$3,380 ",,,,,,,,
5647,"$5,500 ",3.08 x LTM,1783,$924 ,,3.24 Years,,,,Life of Rights,"$*,***","$1,783 ",5647,,4,,,"$2,771 ",4,,,,,,,,,,,,,
5476,"$15,000 ",3.37 x LTM,4446,"$4,337 ",,6.83 Years,,"$11,500 ",4-Jan-24,Term Advance 10-Year,"$**,***","$5,750 ",5476,,26,5.93,26-Mar-30,,26,,,,,,,,,,,"$50,981 ",,
5628,"$9,000 ",6.53 x LTM,1378,"$1,420 ",,5.20 Years,,,,Life of Rights,"$*,***","$4,000 ",5628,,32,,,,32,,,,,"$5,500 ",,,,,,,,
5627,"$14,500 ",6.00 x LTM,2416,"$2,132 ",,5.47 Years,,,,Life of Rights,"$**,***","$8,000 ",5627,,33,,,,33,,"$10,383 ",,,,,,,,,,,
5630,"$59,000 ",12.82 x LTM,4602,"$4,218 ",,13.31 Years,,,,Life of Rights,"$**,***","$23,000 ",5630,,19,,,,19,"$40,543 ",,,,,,,,,,,,
5632,"$13,750 ",2.34 x LTM,5872,"$3,029 ",,2.68 Years,,,,Life of Rights,"$**,***","$5,000 ",5632,,25,,,,25,,,,,,,,"$9,089 ",,,,,
5264,"$12,550 ",4.29 x LTM,2922,"$2,479 ",,5.25 Years,,"$9,450 ",16-Jul-23,Term Advance 10-Year,"$*,***","$4,725 ",5264,,5,5.82,7-Feb-30,,5,,,,,,,,,,,,,
5360,"$20,800 ",4.93 x LTM,4217,"$2,337 ",,6.01 Years,1,,,Life of Rights,"$**,***","$10,000 ",5360,,,,,,,,,,,,,,,,,,,
5339,"$28,000 ",9.34 x LTM,2998,"$3,098 ",,6.40 Years,,,,Life of Rights,"$**,***","$13,000 ",5339,,97,,,,97,,"$28,725 ",,,,,,,,,,,
5599,"$124,500 ",8.85 x LTM,14074,"$11,191 ",,69.21 Years,,,,Life of Rights,"$***,***","$60,000 ",5599,,109,,,,109,"$89,031 ",,,,,,,,,,,,
5582,"$63,500 ",5.24 x LTM,12130,"$8,383 ",,5.33 Years,,,,Life of Rights,"$**,***","$16,000 ",5582,"$71,609 ",87,,,,87,,,,,,,,,,,,,
5178,"$185,000 ",6.53 x LTM,28340,"$41,431 ",,3.84 Years,,,,Life of Rights,"$***,***","$95,000 ",5178,,14,,,,14,,,,,,,,"$160,524 ",,,,,
4594,"$17,500 ",8.23 x LTM,2127,"$2,294 ",,4.45 Years,,"$10,500 ",2-Apr-22,Life of Rights,"$**,***","$15,000 ",4594,,2,,,,2,,,,,,,,"$8,654 ",,,,,
5032,"$38,500 ",8.91 x LTM,4322,"$5,577 ",,7.44 Years,1,"$30,500 ",30-Jan-23,Life of Rights,"$**,***","$4,853 ",5032,,,,,,,,,,,,,,,,,,,
5291,"$205,663 ",13.74 x LTM,14970,"$15,954 ",,20.61 Years,,,,Life of Rights,—,"$100,000 ",5291,,785,,,,785,,,,,,,,,"$166,414 ",,,,
5580,"$63,000 ",24.68 x LTM,2553,"$2,600 ",,142.51 Years,1,,,Life of Rights,—,"$15,000 ",5580,,,,,,,,,"$55,364 ",,,,,,,,,,
4523,"$87,950 ",7.08 x LTM,12424,"$12,687 ",,5.31 Years,,"$72,000 ",25-Feb-22,Life of Rights,—,"$83,000 ",4523,,24,,,,24,,,,,,,,,,,,"$60,697 ",
5334,"$51,100 ",2.36 x LTM,21658,—,"$35,342 ",1.50 Years,1,"$47,200 ",12-Sep-23,Life of Rights,—,"$20,000 ",5334,,,,,,,,,,,,,,,,,,,
4766,"$23,000 ",7.46 x LTM,3083,"$2,282 ",,9.18 Years,,"$19,250 ",5-Aug-22,Term Advance 30-Year,"$**,***","$1,720 ",4766,,7,28.35,5-Aug-52,,7,,"$16,144 ",,,,,,,,,,,
3816,"$65,900 ",6.94 x LTM,9493,"$6,992 ",,15.96 Years,,"$49,500 ",13-Jul-20,Life of Rights,"$**,***","$62,000 ",3816,,3,,,,3,,"$62,027 ",,,,,,,,,,,
5004,"$69,950 ",6.43 x LTM,10878,"$10,515 ",,4.64 Years,,"$23,510 ",8-Jan-23,Life of Rights,"$**,***","$60,000 ",5004,,11,,,,11,,,,,,,,,,,,,
5452,"$171,000 ",8.45 x LTM,20232,—,"$25,797 ",14.07 Years,,,,Life of Rights,"$***,***","$75,000 ",5452,,38,,,,38,,,,,,,,,,,,,
5604,"$85,250 ",11.33 x LTM,7525,"$5,607 ","$62,169 ",57.67 Years,9,Life of Rights,,"$25,000 ",5604,,,,,,,,,,,,,,,,,,,,,
3479,"$5,000 ",4.43 x LTM,1128,$934 ,,6.72 Years,3,Term Advance 10-Year,,"$4,500 ",3479,"$8,814 ","$7,750 ",22-Jul-19,5.32,22-Jul-29,,,,,,,,,,,,,,,,
5535,"$71,000 ",5.31 x LTM,13373,"$13,059 ",,3.64 Years,17,Term Advance 30-Year,,"$45,000 ",5535,,,,30,26-Mar-54,"$53,449 ",,,,,,,,,,,,,,,
5409,"$61,111 ",2.40 x LTM,25427,"$18,732 ",,13.48 Years,80,Term Advance 10-Year,,"$60,000 ",5409,"$81,478 ","$42,300 ",18-Nov-20,6.65,18-Nov-30,,,,,,,,,,,,,,,,
4458,"$5,500 ",3.40 x LTM,1618,"$1,567 ",,8.09 Years,,Term Advance 10-Year,,"$1,291 ",4458,,"$4,891 ",5-Jan-22,5.55,14-Oct-29,,"$23,373 ",1,,,,,,,,,,,,,
5583,"$10,799 ",6.44 x LTM,1677,"$1,727 ",,4.02 Years,101,Term Advance 30-Year,,"$5,000 ",5583,,,,30,22-Mar-54,,"$11,966 ",,,,,,,,,,,,,,
5533,"$70,000 ",6.70 x LTM,10454,"$10,307 ",,3.55 Years,8,Life of Rights,,"$35,000 ",5533,"$36,229 ",,,,,,,,,,,,,,,,,,,,
5586,"$125,883 ",4.31 x LTM,29203,"$31,041 ",,5.26 Years,185,Term Advance 10-Year,,"$85,000 ",5586,,,,10,20-Mar-34,"$197,681 ",,,,,,,,,,,,,,,
5461,"$72,225 ",9.75 x LTM,7411,"$8,238 ",,11.27 Years,115,Life of Rights,,"$35,000 ",5461,,,,,,"$79,732 ",,,,,,,,,,,,,,,
5065,"$32,750 ",7.00 x LTM,4678,"$6,214 ",,4.65 Years,32,Life of Rights,,"$17,500 ",5065,,"$35,000 ",22-Feb-23,,,,,,"$34,398 ",,,,,,,,,,,,
5585,"$38,000 ",9.31 x LTM,4083,"$4,536 ",,6.00 Years,,Life of Rights,,"$17,500 ",5585,,,,,,,,1,"$92,571 ",,,,,,,,,,,,
5311,"$37,001 ",9.07 x LTM,4078,"$3,786 ",,12.75 Years,117,Life of Rights,,"$35,000 ",5311,,"$35,000 ",31-Aug-23,,,,,,,"$56,329 ",,,,,,,,,,,
5511,"$30,000 ",3.96 x LTM,7574,"$7,494 ",,6.29 Years,25,Life of Rights,,"$10,000 ",5511,,,,,,,,,"$202,888 ",,,,,,,,,,,,
5570,"$14,750 ",11.96 x LTM,1233,"$1,124 ","$17,225 ",20.13 Years,90,Life of Rights,,"$5,000 ",5570,,,,,,,,,,,,,,,,,,,,,
5569,"$190,000 ",4.55 x LTM,41734,"$74,971 ",,9.62 Years,3,Life of Rights,,"$100,000 ",5569,,,,,,,,,"$464,135 ",,,,,,,,,,,,
5530,"$225,000 ",6.58 x LTM,34190,"$26,045 ",,11.70 Years,44,Life of Rights,,"$130,000 ",5530,,,,,,,,,,,"$108,668 ",,,,,,,,,,
3901,"$144,231 ",7.67 x LTM,18813,"$20,004 ",,6.29 Years,193,Life of Rights,,"$100,000 ",3901,,"$97,000 ",15-Nov-20,,,"$143,544 ",,,,,,,,,,,,,,,
5562,"$25,000 ",8.12 x LTM,3078,"$4,581 ",,6.92 Years,75,Life of Rights,,"$11,000 ",5562,,,,,,,,,"$33,017 ",,,,,,,,,,,,
5561,"$26,471 ",4.58 x LTM,5780,"$7,422 ",,5.00 Years,86,Term Advance 10-Year,,"$15,000 ",5561,,,,10,11-Mar-34,,,,,,"$32,434 ",,,,,,,,,,
5259,"$9,501 ",4.47 x LTM,2128,—,,2.04 Years,7,Life of Rights,,"$9,500 ",5259,,"$8,750 ",8-Jul-23,,,,,,,,,"$4,094 ",,,,,,,,,
5459,"$15,001 ",8.55 x LTM,1755,"$1,555 ",,11.75 Years,71,Term Advance 30-Year,,"$15,000 ",5459,,"$11,501 ",12-Dec-23,29.76,12-Dec-53,,,,,,,,"$28,931 ",,,,,,,,
5577,"$105,000 ",5.90 x LTM,17792,"$21,248 ",,3.39 Years,34,Life of Rights,,"$60,000 ",5577,,,,,,,,,"$88,267 ",,,,,,,,,,,,
5522,"$24,500 ",8.20 x LTM,2988,"$3,074 ",,11.38 Years,,Life of Rights,,"$14,000 ",5522,,,,,,,,1,,,"$9,885 ",,,,,,,,,,
5438,"$60,000 ",9.42 x LTM,6366,"$5,669 ",,26.38 Years,14,Term Advance 30-Year,,,5438,,,,30,9-Mar-54,,,,,,,,,"$56,652 ",,,,,,,
5457,"$9,800 ",7.07 x LTM,1386,$979 ,,4.37 Years,280,Term Advance 30-Year,,"$9,000 ",5457,,"$6,000 ",14-Dec-23,29.77,14-Dec-53,,,,"$3,255 ",,,,,,,,,,,,
5571,"$16,500 ",8.33 x LTM,1980,"$2,651 ",,5.50 Years,,Term Advance 30-Year,,"$7,500 ",5571,,,,30,8-Mar-54,,,1,"$83,867 ",,,,,,,,,,,,
5576,"$22,200 ",5.44 x LTM,4080,"$5,719 ",,4.42 Years,5,Life of Rights,,"$15,000 ",5576,,,,,,,,,,,"$18,634 ",,,,,,,,,,
5519,"$32,000 ",4.17 x LTM,7676,—,,1.25 Years,,Life of Rights,,"$8,000 ",5519,,,,,,,,1,,,,"$7,676 ",,,,,,,,,
4963,"$35,000 ",10.42 x LTM,3359,"$3,231 ",,11.90 Years,32,Life of Rights,,"$8,329 ",4963,,"$17,500 ",7-Dec-22,,,,,,,,"$12,179 ",,,,,,,,,,
5559,"$39,000 ",7.35 x LTM,5308,"$3,936 ",,15.38 Years,16,Term Advance 30-Year,,"$20,000 ",5559,,,,30,7-Mar-54,,,,,,,,"$46,184 ",,,,,,,,
4768,"$24,500 ",8.34 x LTM,2936,"$3,835 ","$69,883 ",8.30 Years,2293,Life of Rights,,"$20,000 ",4768,,"$38,500 ",10-Aug-22,,,,,,,,,,,,,,,,,,
5546,"$3,000 ",19.13 x LTM,157,$326 ,,3.86 Years,3,Life of Rights,,"$2,000 ",5546,,"$4,000 ",15-Feb-24,,,,,,,,"$1,057 ",,,,,,,,,,
5549,"$202,500 ",6.22 x LTM,32579,"$21,702 ",,15.48 Years,2,Life of Rights,,"$125,000 ",5549,,,,,,,,,,,,,"$144,067 ",,,,,,,,
5197,"$232,500 ",14.81 x LTM,15698,"$16,226 ",,29.22 Years,2,Life of Rights,,"$225,000 ",5197,,"$189,000 ",5-Jun-23,,,,,,,,,,"$163,517 ",,,,,,,,
5544,"$19,900 ",5.20 x LTM,3826,"$5,112 ",,3.55 Years,128,Life of Rights,,"$10,000 ",5544,,,,,,"$19,958 ",,,,,,,,,,,,,,,
5553,"$156,000 ",30.42 x LTM,5129,"$5,214 ",,142.51 Years,,Life of Rights,,"$5,129 ",5553,,,,,,,,1,,,,,,,"$110,572 ",,,,,,
5545,"$77,000 ",10.46 x LTM,7361,"$6,336 ",,27.50 Years,63,Term Advance 30-Year,,"$37,000 ",5545,,,,30,28-Feb-54,,,,,,,,,,,"$76,292 ",,,,,
5548,"$38,000 ",2.70 x LTM,14082,—,,2.25 Years,,Life of Rights,,"$25,000 ",5548,,,,,,,,1,,,,,,,,,"$23,781 ",,,,
